customer_id,transaction_date,transaction_amount,transaction_type,transaction_category,starting_amount,account_balance
CUST_012,2022-01-05,120.0,debit,rent,750.0,630.0
CUST_040,2023-01-09,500.0,debit,Food,0.0,-500.0
CUST_030,2022-02-01,1700.0,credit,housing,0.0,1700.0
CUST_012,2022-01-12,350.0,credit,investment,750.0,980.0
CUST_015,2022-02-26,590.0,debit,salary,450.0,-140.0
CUST_014,2022-01-14,450.0,debit,entertainment,100.0,-350.0
CUST_019,2022-02-07,110.0,credit,deposit,950.0,1060.0
CUST_009,2022-02-05,380.0,credit,groceries,700.0,1080.0
CUST_042,2022-02-17,2400.0,credit,home decor,0.0,2400.0
CUST_037,2023-01-06,460.0,debit,entertainment,0.0,-460.0
CUST_029,2022-01-29,800.0,credit,jewelry,0.0,800.0
CUST_006,2022-01-06,450.0,debit,Housing,600.0,150.0
CUST_004,2022-01-12,20.99,debit,groceries,1200.0,1179.01
CUST_008,2022-01-08,300.0,credit,Food,250.0,550.0
CUST_029,2022-01-28,1800.0,credit,shoes,0.0,2600.0
CUST_003,2022-01-09,250.0,debit,food,800.0,550.0
CUST_034,2023-01-03,500.0,credit,Food,0.0,500.0
CUST_013,2022-01-13,650.0,credit,petdoor gear,550.0,1200.0
CUST_010,2022-03-10,50.0,credit,Deposit,900.0,950.0
CUST_017,2022-01-14,750.0,credit,Salary,850.0,1600.0
CUST_011,2022-01-11,650.0,debit,entertainment,350.0,-300.0
CUST_014,2022-01-04,250.0,credit,gaming,100.0,-100.0
CUST_017,2022-01-16,850.0,credit,Shopping,850.0,2450.0
CUST_048,2022-02-09,100.0,debit,transportation,0.0,-100.0
CUST_006,2022-01-12,820.0,credit,payment,600.0,970.0
CUST_012,2022-01-10,9600.0,credit,Deposit,750.0,10580.0
CUST_021,2022-01-21,900.0,credit,gift,1250.0,2150.0
CUST_003,2022-01-03,50.0,credit,rent,800.0,600.0
CUST_015,2022-03-21,45.0,credit,travel,450.0,-95.0
CUST_041,2022-02-19,400.0,credit,deposit,0.0,400.0
CUST_010,2022-01-10,1000.0,credit,books,900.0,1950.0
CUST_006,2022-01-06,1400.0,credit,Shopping,600.0,2370.0
CUST_004,2022-01-11,30.0,credit,travel,1200.0,1209.01
CUST_015,2022-03-23,30.0,credit,groceries,450.0,-65.0
CUST_023,2022-01-23,1000.0,debit,Entertainment,1800.0,800.0
CUST_032,2023-01-01,700.0,debit,Food,0.0,-700.0
CUST_011,2022-01-11,250.0,credit,groceries,350.0,-50.0
CUST_007,2022-01-21,250.0,debit,loan,400.0,150.0
CUST_043,2022-02-18,60.0,debit,subscription,0.0,-60.0
CUST_033,2022-02-02,1000.0,credit,entertainment,0.0,1000.0
CUST_004,2022-01-07,800.0,debit,withdrawal,1200.0,409.01
CUST_030,2022-02-01,1700.0,credit,housing,0.0,3400.0
CUST_009,2022-02-04,440.0,credit,investment,700.0,1520.0
CUST_004,2022-01-14,180.0,debit,entertainment,1200.0,229.01
CUST_008,2022-01-30,300.0,credit,Deposit,250.0,850.0
CUST_015,2022-01-07,30.0,credit,transportation,450.0,-35.0
CUST_005,2022-01-17,20.0,debit,entertainment,300.0,280.0
CUST_031,2022-01-30,450.0,debit,withdrawal,0.0,-450.0
CUST_014,2022-01-28,1100.0,credit,payment,100.0,1000.0
CUST_014,2022-03-09,35.0,credit,rent,100.0,1035.0
CUST_018,2022-02-07,130.0,credit,travel,200.0,330.0
CUST_040,2023-01-09,850.0,debit,Entertainment,0.0,-1350.0
CUST_027,2022-01-27,650.0,debit,Food,0.0,-650.0
CUST_011,2022-01-11,1100.0,debit,gas,350.0,-1150.0
CUST_006,2022-01-24,220.0,credit,loan,600.0,2590.0
CUST_030,2022-01-29,4200.0,credit,Transfer,0.0,7600.0
CUST_027,2022-01-26,750.0,credit,Salary,0.0,100.0
CUST_002,2022-01-05,90.0,credit,salary,500.0,590.0
CUST_004,2022-01-04,450.0,credit,Shopping,1200.0,679.01
CUST_004,2022-01-22,1100.0,credit,sports,1200.0,1779.01
CUST_014,2022-01-26,1150.0,credit,payment,100.0,2185.0
CUST_023,2022-02-12,60.0,debit,subscription,1800.0,740.0
CUST_014,2022-01-04,120.0,credit,loan,100.0,2305.0
CUST_011,2022-01-21,750.0,debit,withdrawal,350.0,-1900.0
CUST_017,2022-01-15,950.0,credit,Deposit,850.0,3400.0
CUST_007,2022-07-01,5500.0,debit,Purchase,400.0,-5350.0
CUST_022,2022-01-22,90.0,credit,medical,3200.0,3290.0
CUST_051,2022-02-04,25.0,credit,salary,1000.0,1025.0
CUST_006,2022-01-06,100.0,debit,Transportation,600.0,2490.0
CUST_004,2022-01-15,140.0,credit,travel,1200.0,1919.01
CUST_009,2022-02-01,300.0,credit,housing,700.0,1820.0
CUST_004,2022-01-10,1500.0,credit,salary,1200.0,3419.01
CUST_016,2022-03-28,45.99,credit,travel,650.0,695.99
CUST_015,2022-01-16,500.0,credit,loan,450.0,465.0
CUST_001,2022-01-04,150.0,credit,loan,1000.0,1150.0
CUST_001,2022-01-01,980.25,credit,deposit,1000.0,2130.25
CUST_004,2022-01-21,30.0,credit,travel,1200.0,3449.01
CUST_036,2022-02-05,11300.0,credit,Transfer,0.0,11300.0
CUST_005,2022-01-05,800.0,credit,rewards,300.0,1080.0
CUST_012,2022-01-12,850.0,credit,Shopping,750.0,11430.0
CUST_032,2023-01-01,500.0,debit,Food,0.0,-1200.0
CUST_007,2022-01-28,240.0,credit,loan,400.0,-5110.0
CUST_014,2022-02-24,40.0,credit,rent,100.0,2345.0
CUST_006,2022-01-03,110.0,credit,rent,600.0,2600.0
CUST_014,2022-01-14,800.0,credit,rewards,100.0,3145.0
CUST_011,2022-03-01,25.0,credit,salary,350.0,-1875.0
CUST_016,2022-01-20,200.0,debit,loan,650.0,495.99
CUST_016,2022-01-12,120.0,credit,rent,650.0,615.99
CUST_036,2023-01-05,440.0,debit,shopping,0.0,10860.0
CUST_004,2022-01-13,1200.0,debit,withdrawal,1200.0,2249.01
CUST_001,2022-01-01,80.0,credit,loan,1000.0,2210.25
CUST_017,2022-01-17,300.0,credit,housing,850.0,3700.0
CUST_020,2022-01-29,260.0,credit,rent,2500.0,2760.0
CUST_017,2022-01-13,1500.0,credit,salary,850.0,5200.0
CUST_032,2022-07-10,14400.0,credit,Deposit,0.0,13200.0
CUST_012,2022-01-12,850.0,credit,Shopping,750.0,12280.0
CUST_009,2022-01-26,350.0,credit,entertainment,700.0,2170.0
CUST_004,2022-01-16,45.0,debit,travel,1200.0,2204.01
CUST_030,2022-02-01,3200.0,credit,Transfer,0.0,10800.0
CUST_043,2023-01-12,600.0,credit,investment,0.0,540.0
CUST_002,2022-01-07,90.0,credit,investment,500.0,680.0
CUST_003,2022-01-03,350.0,credit,deposit,800.0,950.0
CUST_046,2022-06-01,11200.0,credit,Transfer,0.0,11200.0
CUST_011,2022-01-18,140.0,debit,pet expenses,350.0,-2015.0
