customer_id,transaction_date,transaction_amount,transaction_type,transaction_category,starting_amount,account_balance
CUST_001,2022-01-01,100.0,credit,rent,1000.0,1100.0
CUST_001,2022-01-01,50.0,debit,groceries,1000.0,1050.0
CUST_001,2022-01-02,75.0,credit,salary,1000.0,1125.0
CUST_001,2022-01-02,25.0,debit,entertainment,1000.0,1100.0
CUST_001,2022-01-03,150.0,credit,investment,1000.0,1250.0
CUST_001,2022-01-03,20.0,debit,transportation,1000.0,1230.0
CUST_001,2022-01-04,80.0,credit,loan,1000.0,1310.0
CUST_002,2022-01-05,120.0,debit,rent,500.0,380.0
CUST_002,2022-01-05,30.0,credit,salary,500.0,410.0
CUST_002,2022-01-06,60.0,debit,groceries,500.0,350.0
CUST_002,2022-01-06,40.0,credit,entertainment,500.0,390.0
CUST_002,2022-01-07,90.0,debit,investment,500.0,300.0
CUST_002,2022-01-07,50.0,credit,transportation,500.0,350.0
CUST_002,2022-01-08,110.0,debit,loan,500.0,240.0
CUST_003,2022-01-09,140.0,credit,rent,800.0,940.0
CUST_003,2022-01-09,70.0,debit,salary,800.0,870.0
CUST_003,2022-01-10,100.0,credit,groceries,800.0,970.0
CUST_003,2022-01-10,80.0,debit,entertainment,800.0,890.0
CUST_003,2022-01-11,130.0,credit,investment,800.0,1020.0
CUST_003,2022-01-11,60.0,debit,transportation,800.0,960.0
CUST_003,2022-01-12,160.0,debit,loan,800.0,800.0
CUST_004,2022-01-13,190.0,credit,rent,1200.0,1390.0
CUST_004,2022-01-13,100.0,debit,salary,1200.0,1290.0
CUST_004,2022-01-14,140.0,credit,groceries,1200.0,1430.0
CUST_004,2022-01-14,120.0,debit,entertainment,1200.0,1310.0
CUST_004,2022-01-15,170.0,credit,investment,1200.0,1480.0
CUST_004,2022-01-15,90.0,debit,transportation,1200.0,1390.0
CUST_004,2022-01-16,180.0,debit,loan,1200.0,1210.0
CUST_005,2022-01-17,200.0,credit,rent,300.0,500.0
CUST_005,2022-01-17,110.0,debit,salary,300.0,390.0
CUST_005,2022-01-18,150.0,credit,groceries,300.0,540.0
CUST_005,2022-01-18,140.0,debit,entertainment,300.0,400.0
CUST_005,2022-01-19,190.0,credit,investment,300.0,590.0
CUST_005,2022-01-19,100.0,debit,transportation,300.0,490.0
CUST_005,2022-01-20,200.0,debit,loan,300.0,290.0
CUST_006,2022-01-21,220.0,credit,rent,600.0,820.0
CUST_006,2022-01-21,130.0,debit,salary,600.0,690.0
CUST_006,2022-01-22,160.0,credit,groceries,600.0,850.0
CUST_006,2022-01-22,150.0,debit,entertainment,600.0,700.0
CUST_006,2022-01-23,210.0,credit,investment,600.0,910.0
CUST_006,2022-01-23,110.0,debit,transportation,600.0,800.0
CUST_006,2022-01-24,220.0,debit,loan,600.0,580.0
CUST_007,2022-01-25,240.0,credit,rent,400.0,640.0
CUST_007,2022-01-25,140.0,debit,salary,400.0,500.0
CUST_007,2022-01-26,170.0,credit,groceries,400.0,670.0
CUST_007,2022-01-26,160.0,debit,entertainment,400.0,510.0
CUST_007,2022-01-27,230.0,credit,investment,400.0,740.0
CUST_007,2022-01-27,120.0,debit,transportation,400.0,620.0
CUST_007,2022-01-28,240.0,debit,loan,400.0,380.0
CUST_008,2022-01-29,260.0,credit,rent,250.0,510.0
CUST_008,2022-01-29,150.0,debit,salary,250.0,360.0
CUST_008,2022-01-30,180.0,credit,groceries,250.0,540.0
CUST_008,2022-01-30,170.0,debit,entertainment,250.0,370.0
CUST_009,2022-02-01,300.0,credit,investment,700.0,1000.0
CUST_009,2022-02-01,250.0,debit,loan,700.0,750.0
CUST_009,2022-02-02,320.0,credit,rent,700.0,1070.0
CUST_009,2022-02-02,260.0,debit,salary,700.0,810.0
CUST_009,2022-02-03,340.0,credit,groceries,700.0,1150.0
CUST_009,2022-02-03,280.0,debit,entertainment,700.0,870.0
CUST_009,2022-02-04,360.0,credit,investment,700.0,1230.0
CUST_009,2022-02-04,300.0,debit,transportation,700.0,930.0
CUST_009,2022-02-05,380.0,debit,loan,700.0,550.0
CUST_010,2022-02-06,400.0,credit,rent,900.0,1300.0
CUST_010,2022-02-06,320.0,debit,salary,900.0,980.0
CUST_010,2022-02-07,420.0,credit,groceries,900.0,1400.0
CUST_010,2022-02-07,360.0,debit,entertainment,900.0,1040.0
CUST_010,2022-02-08,440.0,credit,investment,900.0,1480.0
CUST_010,2022-02-08,380.0,debit,transportation,900.0,1100.0
CUST_010,2022-02-09,460.0,debit,loan,900.0,640.0
CUST_011,2022-02-10,480.0,credit,rent,350.0,830.0
CUST_011,2022-02-10,400.0,debit,salary,350.0,430.0
CUST_011,2022-02-11,490.0,credit,groceries,350.0,920.0
CUST_011,2022-02-11,430.0,debit,entertainment,350.0,490.0
CUST_011,2022-02-12,500.0,credit,investment,350.0,990.0
CUST_011,2022-02-12,440.0,debit,transportation,350.0,550.0
CUST_011,2022-02-13,510.0,debit,loan,350.0,40.0
CUST_012,2022-02-14,520.0,credit,rent,750.0,1270.0
CUST_012,2022-02-14,440.0,debit,salary,750.0,830.0
CUST_012,2022-02-15,530.0,credit,groceries,750.0,1360.0
CUST_012,2022-02-15,470.0,debit,entertainment,750.0,890.0
CUST_012,2022-02-16,540.0,credit,investment,750.0,1430.0
CUST_012,2022-02-16,470.0,debit,transportation,750.0,960.0
CUST_012,2022-02-17,550.0,debit,loan,750.0,410.0
CUST_013,2022-02-18,560.0,credit,rent,550.0,1110.0
CUST_013,2022-02-18,480.0,debit,salary,550.0,630.0
CUST_013,2022-02-19,570.0,credit,groceries,550.0,1200.0
CUST_013,2022-02-19,500.0,debit,entertainment,550.0,700.0
CUST_013,2022-02-20,580.0,credit,investment,550.0,1280.0
CUST_013,2022-02-20,510.0,debit,transportation,550.0,770.0
CUST_013,2022-02-21,590.0,debit,loan,550.0,180.0
CUST_014,2022-02-22,600.0,credit,rent,100.0,700.0
CUST_014,2022-02-22,520.0,debit,salary,100.0,180.0
CUST_014,2022-02-23,610.0,credit,groceries,100.0,790.0
CUST_014,2022-02-23,540.0,debit,entertainment,100.0,250.0
CUST_014,2022-02-24,620.0,credit,investment,100.0,870.0
CUST_014,2022-02-24,550.0,debit,transportation,100.0,320.0
CUST_014,2022-02-25,630.0,debit,loan,100.0,-310.0
CUST_015,2022-02-26,640.0,credit,rent,450.0,1090.0
CUST_015,2022-02-26,560.0,debit,salary,450.0,530.0
CUST_015,2022-02-27,650.0,credit,groceries,450.0,1180.0
CUST_001,2022-01-01,2500.0,credit,salary,1000.0,3810.0
CUST_001,2022-01-01,120.0,debit,groceries,1000.0,3690.0
CUST_001,2022-01-02,800.0,credit,rent,1000.0,4490.0
CUST_001,2022-01-03,300.0,debit,entertainment,1000.0,4190.0
CUST_001,2022-01-04,450.0,credit,loan,1000.0,4640.0
CUST_001,2022-01-04,100.0,debit,gift,1000.0,4540.0
CUST_002,2022-01-05,1500.0,credit,salary,500.0,1740.0
CUST_002,2022-01-05,50.0,debit,bills,500.0,1690.0
CUST_002,2022-01-06,900.0,credit,gift,500.0,2590.0
CUST_002,2022-01-06,200.0,debit,entertainment,500.0,2390.0
CUST_002,2022-01-07,500.0,credit,loan,500.0,2890.0
CUST_002,2022-01-07,75.0,debit,groceries,500.0,2815.0
CUST_003,2022-01-08,2800.0,credit,salary,800.0,3600.0
CUST_003,2022-01-08,350.0,debit,entertainment,800.0,3250.0
CUST_003,2022-01-09,650.0,credit,loan,800.0,3900.0
CUST_003,2022-01-09,250.0,debit,gift,800.0,3650.0
CUST_003,2022-01-10,1200.0,credit,rent,800.0,4850.0
CUST_003,2022-01-10,400.0,debit,bills,800.0,4450.0
CUST_004,2022-01-11,1800.0,credit,salary,1200.0,3010.0
CUST_004,2022-01-11,120.0,debit,groceries,1200.0,2890.0
CUST_004,2022-01-12,800.0,credit,rent,1200.0,3690.0
CUST_004,2022-01-12,300.0,debit,entertainment,1200.0,3390.0
CUST_004,2022-01-13,450.0,credit,loan,1200.0,3840.0
CUST_004,2022-01-13,100.0,debit,gift,1200.0,3740.0
CUST_005,2022-01-14,1500.0,credit,salary,300.0,1790.0
CUST_005,2022-01-14,50.0,debit,bills,300.0,1740.0
CUST_005,2022-01-15,900.0,credit,gift,300.0,2640.0
CUST_005,2022-01-15,200.0,debit,entertainment,300.0,2440.0
CUST_005,2022-01-16,500.0,credit,loan,300.0,2940.0
CUST_005,2022-01-16,75.0,debit,groceries,300.0,2865.0
CUST_006,2022-01-17,2800.0,credit,salary,600.0,3380.0
CUST_006,2022-01-17,350.0,debit,entertainment,600.0,3030.0
CUST_006,2022-01-18,650.0,credit,loan,600.0,3680.0
CUST_006,2022-01-18,250.0,debit,gift,600.0,3430.0
CUST_006,2022-01-19,1200.0,credit,rent,600.0,4630.0
CUST_006,2022-01-19,400.0,debit,bills,600.0,4230.0
CUST_007,2022-01-20,1800.0,credit,salary,400.0,2180.0
CUST_007,2022-01-20,120.0,debit,groceries,400.0,2060.0
CUST_007,2022-01-21,800.0,credit,rent,400.0,2860.0
CUST_007,2022-01-21,300.0,debit,entertainment,400.0,2560.0
CUST_007,2022-01-22,450.0,credit,loan,400.0,3010.0
CUST_007,2022-01-22,100.0,debit,gift,400.0,2910.0
CUST_008,2022-01-23,1500.0,credit,salary,250.0,1870.0
CUST_008,2022-01-23,50.0,debit,bills,250.0,1820.0
CUST_008,2022-01-24,900.0,credit,gift,250.0,2720.0
CUST_008,2022-01-24,200.0,debit,entertainment,250.0,2520.0
CUST_008,2022-01-25,500.0,credit,loan,250.0,3020.0
CUST_008,2022-01-25,75.0,debit,groceries,250.0,2945.0
CUST_009,2022-01-26,2800.0,credit,salary,700.0,3350.0
CUST_009,2022-01-26,350.0,debit,entertainment,700.0,3000.0
CUST_009,2022-01-27,650.0,credit,loan,700.0,3650.0
CUST_009,2022-01-27,250.0,debit,gift,700.0,3400.0
CUST_009,2022-01-28,1200.0,credit,rent,700.0,4600.0
CUST_009,2022-01-28,400.0,debit,bills,700.0,4200.0
CUST_010,2022-01-29,1800.0,credit,salary,900.0,2440.0
CUST_011,2022-01-01,100.0,credit,salary,350.0,140.0
CUST_011,2022-01-01,50.0,debit,bills,350.0,90.0
CUST_011,2022-01-02,800.0,credit,rent,350.0,890.0
CUST_011,2022-01-02,300.0,debit,entertainment,350.0,590.0
CUST_012,2022-01-03,1500.0,credit,salary,750.0,1910.0
CUST_012,2022-01-03,50.0,debit,groceries,750.0,1860.0
CUST_012,2022-01-04,900.0,credit,gift,750.0,2760.0
CUST_012,2022-01-04,200.0,debit,loan,750.0,2560.0
CUST_013,2022-01-05,500.0,credit,rent,550.0,680.0
CUST_013,2022-01-05,75.0,debit,bills,550.0,605.0
CUST_013,2022-01-06,1200.0,credit,entertainment,550.0,1805.0
CUST_013,2022-01-06,400.0,debit,salary,550.0,1405.0
CUST_014,2022-01-07,2800.0,credit,salary,100.0,2490.0
CUST_014,2022-01-07,350.0,debit,gift,100.0,2140.0
CUST_014,2022-01-08,650.0,credit,loan,100.0,2790.0
CUST_014,2022-01-08,250.0,debit,groceries,100.0,2540.0
CUST_015,2022-01-09,1800.0,credit,rent,450.0,2980.0
CUST_015,2022-01-09,120.0,debit,bills,450.0,2860.0
CUST_015,2022-01-10,800.0,credit,entertainment,450.0,3660.0
CUST_015,2022-01-10,300.0,debit,salary,450.0,3360.0
CUST_016,2022-01-11,1500.0,credit,salary,650.0,2150.0
CUST_016,2022-01-11,50.0,debit,groceries,650.0,2100.0
CUST_016,2022-01-12,900.0,credit,gift,650.0,3000.0
CUST_016,2022-01-12,200.0,debit,loan,650.0,2800.0
CUST_017,2022-01-13,500.0,credit,rent,850.0,1350.0
CUST_017,2022-01-13,75.0,debit,bills,850.0,1275.0
CUST_017,2022-01-14,1200.0,credit,entertainment,850.0,2475.0
CUST_017,2022-01-14,400.0,debit,salary,850.0,2075.0
CUST_018,2022-01-15,2800.0,credit,salary,200.0,3000.0
CUST_018,2022-01-15,350.0,debit,gift,200.0,2650.0
CUST_018,2022-01-16,650.0,credit,loan,200.0,3300.0
CUST_018,2022-01-16,250.0,debit,groceries,200.0,3050.0
CUST_019,2022-01-17,1800.0,credit,rent,950.0,2750.0
CUST_019,2022-01-17,120.0,debit,bills,950.0,2630.0
CUST_019,2022-01-18,800.0,credit,entertainment,950.0,3430.0
CUST_019,2022-01-18,300.0,debit,salary,950.0,3130.0
CUST_020,2022-01-19,1500.0,credit,salary,2500.0,4000.0
CUST_020,2022-01-19,50.0,debit,groceries,2500.0,3950.0
CUST_020,2022-01-20,900.0,credit,gift,2500.0,4850.0
CUST_020,2022-01-20,200.0,debit,loan,2500.0,4650.0
CUST_021,2022-01-21,500.0,credit,rent,1250.0,1750.0
CUST_021,2022-01-21,75.0,debit,bills,1250.0,1675.0
CUST_021,2022-01-22,1200.0,credit,entertainment,1250.0,2875.0
CUST_021,2022-01-22,400.0,debit,salary,1250.0,2475.0
CUST_022,2022-01-23,2800.0,credit,salary,3200.0,6000.0
CUST_001,2022-01-01,1500.0,credit,Transfer,1000.0,6040.0
CUST_002,2022-01-05,1200.0,debit,Purchase,500.0,1615.0
CUST_003,2022-01-10,200.0,credit,Deposit,800.0,4650.0
CUST_004,2022-01-15,800.0,debit,Bill Payment,1200.0,2940.0
CUST_005,2022-01-20,1000.0,credit,Transfer,300.0,3865.0
CUST_006,2022-01-25,600.0,debit,Purchase,600.0,3630.0
CUST_007,2022-01-30,300.0,credit,Deposit,400.0,3210.0
CUST_008,2022-02-01,400.0,debit,Bill Payment,250.0,2545.0
CUST_009,2022-02-05,500.0,credit,Transfer,700.0,4700.0
CUST_010,2022-02-10,700.0,debit,Purchase,900.0,1740.0
CUST_011,2022-02-15,900.0,credit,Deposit,350.0,1490.0
CUST_012,2022-02-20,1100.0,debit,Bill Payment,750.0,1460.0
CUST_013,2022-02-25,1300.0,credit,Transfer,550.0,2705.0
CUST_014,2022-03-01,1500.0,debit,Purchase,100.0,1040.0
CUST_015,2022-03-05,1700.0,credit,Deposit,450.0,5060.0
CUST_016,2022-03-10,1900.0,debit,Bill Payment,650.0,900.0
CUST_017,2022-03-15,2100.0,credit,Transfer,850.0,4175.0
CUST_018,2022-03-20,2300.0,debit,Purchase,200.0,750.0
CUST_019,2022-03-25,2500.0,credit,Deposit,950.0,5630.0
CUST_020,2022-04-01,2700.0,debit,Bill Payment,2500.0,1950.0
CUST_021,2022-04-05,2900.0,credit,Transfer,1250.0,5375.0
CUST_022,2022-04-10,3100.0,debit,Purchase,3200.0,2900.0
CUST_023,2022-04-15,3300.0,credit,Deposit,1800.0,5100.0
CUST_024,2022-04-20,3500.0,debit,Bill Payment,9200.0,5700.0
CUST_025,2022-05-01,3700.0,credit,Transfer,3800.0,7500.0
CUST_001,2022-05-05,3900.0,debit,Purchase,1000.0,2140.0
CUST_002,2022-05-10,4100.0,credit,Deposit,500.0,5715.0
CUST_003,2022-05-15,4300.0,debit,Bill Payment,800.0,350.0
CUST_004,2022-05-20,4500.0,credit,Transfer,1200.0,7440.0
CUST_005,2022-06-01,4700.0,debit,Purchase,300.0,-835.0
CUST_006,2022-06-05,4900.0,credit,Deposit,600.0,8530.0
CUST_007,2022-06-10,5100.0,debit,Bill Payment,400.0,-1890.0
CUST_008,2022-06-15,5300.0,credit,Transfer,250.0,7845.0
CUST_009,2022-07-01,5500.0,debit,Purchase,700.0,-800.0
CUST_010,2022-07-05,5700.0,credit,Deposit,900.0,7440.0
CUST_011,2022-07-10,5900.0,debit,Bill Payment,350.0,-4410.0
CUST_012,2022-07-15,6100.0,credit,Transfer,750.0,7560.0
CUST_013,2022-08-01,6300.0,debit,Purchase,550.0,-3595.0
CUST_014,2022-08-05,6500.0,credit,Deposit,100.0,7540.0
CUST_015,2022-08-10,6700.0,debit,Bill Payment,450.0,-1640.0
CUST_016,2022-08-15,6900.0,credit,Transfer,650.0,7800.0
CUST_017,2022-09-01,7100.0,debit,Purchase,850.0,-2925.0
CUST_018,2022-09-05,7300.0,credit,Deposit,200.0,8050.0
CUST_019,2022-09-10,7500.0,debit,Bill Payment,950.0,-1870.0
CUST_020,2022-09-15,7700.0,credit,Transfer,2500.0,9650.0
CUST_021,2022-10-01,7900.0,debit,Purchase,1250.0,-2525.0
CUST_022,2022-10-05,8100.0,credit,Deposit,3200.0,11000.0
CUST_023,2022-10-10,8300.0,debit,Bill Payment,1800.0,-3200.0
CUST_024,2022-10-15,8500.0,credit,Transfer,9200.0,14200.0
CUST_025,2022-11-01,8700.0,debit,Purchase,3800.0,-1200.0
CUST_001,2022-11-05,8900.0,credit,Deposit,1000.0,11040.0
CUST_002,2022-11-10,9100.0,debit,Bill Payment,500.0,-3385.0
CUST_026,2022-01-01,9200.0,credit,Transfer,0.0,9200.0
CUST_027,2022-01-05,9400.0,debit,Purchase,0.0,-9400.0
CUST_028,2022-01-10,9600.0,credit,Deposit,0.0,9600.0
CUST_029,2022-01-15,9800.0,debit,Bill Payment,0.0,-9800.0
CUST_030,2022-02-01,10000.0,credit,Transfer,0.0,10000.0
CUST_031,2022-02-05,10200.0,debit,Purchase,0.0,-10200.0
CUST_032,2022-02-10,10400.0,credit,Deposit,0.0,10400.0
CUST_033,2022-02-15,10600.0,debit,Bill Payment,0.0,-10600.0
CUST_034,2022-03-01,10800.0,credit,Transfer,0.0,10800.0
